periodo,codigo_serie,perfil,imp_hist
2025-01,AGUA OXIGENADA 10 VOL.  100ML,IPR,184111.44
2025-01,AGUA OXIGENADA 10 VOL.  100ML,OES,58233.6
2025-01,AGUA OXIGENADA 10 VOL.  100ML,SAN,12352.2
2025-01,AGUA OXIGENADA 10 VOL.  250ML,DRO,88801.92
2025-01,AGUA OXIGENADA 10 VOL.  250ML,FAR,4045319.015
2025-01,AGUA OXIGENADA 10 VOL.  250ML,IPR,109887.57
2025-01,AGUA OXIGENADA 10 VOL.  250ML,OSP,2178.56
2025-01,AGUA OXIGENADA 10 VOL.  250ML,SAN,12223.44
2025-01,AGUA OXIGENADA 10 VOL.  500ML,DRO,144397.57
2025-01,AGUA OXIGENADA 10 VOL.  500ML,FAR,3361899.4918
2025-01,AGUA OXIGENADA 10 VOL.  500ML,IPR,62884.05
2025-01,AGUA OXIGENADA 10 VOL.  500ML,OES,242486.76
2025-01,AGUA OXIGENADA 10 VOL.  500ML,PER,770.46
2025-01,AGUA OXIGENADA 10 VOL.  500ML,SAN,3633.7
2025-01,AGUA OXIGENADA 10 VOL. 1000ML,DRO,480799.6
2025-01,AGUA OXIGENADA 10 VOL. 1000ML,FAR,3968409.5
2025-01,AGUA OXIGENADA 10 VOL. 1000ML,IPR,536861.82
2025-01,AGUA OXIGENADA 10 VOL. 1000ML,IPU,27219.5688
2025-01,AGUA OXIGENADA 10 VOL. 1000ML,PER,3204.48
2025-01,AGUA OXIGENADA 10 VOL. 1000ML,SAN,117330.47999999998
2025-01,AGUA OXIGENADA 10 VOL. 5000ML,FAR,220402.94
2025-01,AGUA OXIGENADA 10 VOL. 5000ML,IPR,157359.50999999998
2025-01,AGUA OXIGENADA CR 20 VOL 75ML,FAR,903108.5568
2025-01,AGUA OXIGENADA CR 30 VOL 75ML,FAR,554420.7
2025-01,AGUA OXIGENADA CR HIERBAS 20 VOL 75ML,DRO,1708.82
2025-01,AGUA OXIGENADA CR HIERBAS 20 VOL 75ML,FAR,842842.654
2025-01,AGUA OXIGENADA CR HIERBAS 30 VOL 75ML,FAR,387336.766
2025-01,AGUJA BIOPSIA 8G X 10CM,DRO,183623.86
2025-01,AGUJA BIOPSIA 8G X 10CM,FAR,18964.47
2025-01,AGUJA BIOPSIA 8G X 10CM,IPR,37944.12
2025-01,AGUJA BIOPSIA 8G X 10CM,OES,397167.6
2025-01,AGUJA BIOPSIA 8G X 15CM,IPR,395722.8
2025-01,AGUJA BIOPSIA ASPIRACION MEDULA OSEA 15G,DRO,114249.6
2025-01,AGUJA BIOPSIA ASPIRACION MEDULA OSEA 16G,DRO,155184.15
2025-01,AGUJA BIOPSIA ASPIRACION MEDULA OSEA 16G,IPR,706751.8
2025-01,AGUJA BIOPSIA ASPIRACION MEDULA OSEA 16G,OES,391522.5
2025-01,"AGUJA DESCARTABLE 13X3  30GX1/2""",COM,30218.16
2025-01,"AGUJA DESCARTABLE 13X3  30GX1/2""",FAR,742276.997
2025-01,"AGUJA DESCARTABLE 13X3  30GX1/2""",IPR,50673.0
2025-01,"AGUJA DESCARTABLE 13X3  30GX1/2"" (DISC)",COM,39049.6
2025-01,"AGUJA DESCARTABLE 13X4  27GX1/2""",FAR,153568.16
2025-01,"AGUJA DESCARTABLE 13X4  27GX1/2""",OES,11801.6
2025-01,"AGUJA DESCARTABLE 13X4  27GX1/2""(DISC)",COM,2033.06
2025-01,"AGUJA DESCARTABLE 13X4  27GX1/2""(DISC)",DRO,29205.65
2025-01,"AGUJA DESCARTABLE 13X4  27GX1/2""(DISC)",IPR,34636.7
2025-01,"AGUJA DESCARTABLE 16X5  25GX5/8""",COM,38010.34
2025-01,"AGUJA DESCARTABLE 16X5  25GX5/8""",DRO,908913.25
2025-01,"AGUJA DESCARTABLE 16X5  25GX5/8""",FAR,441826.35
2025-01,"AGUJA DESCARTABLE 16X5  25GX5/8""",IPR,1390316.75
2025-01,"AGUJA DESCARTABLE 16X5  25GX5/8""",IPU,1005420.8011
2025-01,"AGUJA DESCARTABLE 16X5  25GX5/8""",OES,215205.5
2025-01,"AGUJA DESCARTABLE 16X5  25GX5/8""",SAN,45130.0
2025-01,"AGUJA DESCARTABLE 25X5  25GX1""",DRO,14784.0
2025-01,"AGUJA DESCARTABLE 25X5  25GX1""",FAR,158928.0
2025-01,"AGUJA DESCARTABLE 25X5  25GX1""",OES,68909.1
2025-01,"AGUJA DESCARTABLE 25X5 25GX1""",OES,42025.0
2025-01,AGUJA DESCARTABLE 25X6  23GX1,FAR,89552.718
2025-01,"AGUJA DESCARTABLE 25X7  22GX1""",FAR,26467.192
2025-01,"AGUJA DESCARTABLE 25X8  21GX1""",COM,98575.32
2025-01,"AGUJA DESCARTABLE 25X8  21GX1""",DRO,2887247.51
2025-01,"AGUJA DESCARTABLE 25X8  21GX1""",FAR,679357.746
2025-01,"AGUJA DESCARTABLE 25X8  21GX1""",IPR,3710285.564
2025-01,"AGUJA DESCARTABLE 25X8  21GX1""",IPU,5077824.9087
