codigo_serie;nivel_agregacion;perfil;Neg;Subneg;Familia;submodelo;clasificacion_serie;motivo;pos_12;zero_12;pos_rate_12;racha_zeros_final;periodo_eval_ini;periodo_eval_fin;periodo_panel_max
APOSITO ALGODON/GASA 15X20 SIMPLE SOB EST. A GRANEL;FAMILIA;OSP;4;1;APOSITO ALGODON/GASA 15X20 SIMPLE SOB EST. A GRANEL;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 20X30 A GRANEL;FAMILIA;DRO;4;1;APOSITO ALGODON/GASA 20X30 A GRANEL;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;1;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 20X30 SOBRE EST.SIMPLE SOBRE;FAMILIA;DRO;4;1;APOSITO ALGODON/GASA 20X30 SOBRE EST.SIMPLE SOBRE;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;0;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 25X20 GRANEL (DISC);FAMILIA;IPR;4;1;APOSITO ALGODON/GASA 25X20 GRANEL (DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
APOSITO ALGODON/GASA 7X20 SIMPLE;FAMILIA;IPU;4;1;APOSITO ALGODON/GASA 7X20 SIMPLE;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;7;2025-01;2025-12;2025-12
APOSITO ANTIBACT ESPUMA 15X15CM AMD (55566AMDX);FAMILIA;DPM;15;9;APOSITO ANTIBACT ESPUMA 15X15CM AMD (55566AMDX);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
APOSITO ANTIBACT ESPUMA 20X20CM AMD (55588AMDX);FAMILIA;IPU;15;9;APOSITO ANTIBACT ESPUMA 20X20CM AMD (55588AMDX);SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
APOSITO ANTIBACT ESPUMA 20X20CM AMD (55588AMDX);FAMILIA;OES;15;9;APOSITO ANTIBACT ESPUMA 20X20CM AMD (55588AMDX);SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
APOSITO ANTIBACT POST QUIR 10X12CM S/ADH AMD(7665);FAMILIA;DPM;15;9;APOSITO ANTIBACT POST QUIR 10X12CM S/ADH AMD(7665);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
APOSITO HEMOSTATICO ABSORBIBLE 50X75MM;FAMILIA;OES;4;1;APOSITO HEMOSTATICO ABSORBIBLE 50X75MM;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;8;2025-01;2025-12;2025-12
APOSITO HEMOSTATICO ABSORBIBLE 5X7 CM;FAMILIA;DRO;4;1;APOSITO HEMOSTATICO ABSORBIBLE 5X7 CM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;6;2025-01;2025-12;2025-12
